code;name;produkmui;nilai;label;ingredients;ing0;ing1;ing2;ing3;ing4;ing5;ing6;ing7;ing8;ing9;ing10;ing11;ing12;ing13;ing14;ing15;ing16;ing17;ing18;ing19;ing20;ing21;ing22;ing23;ing24;ing25;ing26;ing27;ing28;ing29;ing30;ing31;ing32;cert_bodies;expired;homepage;location
851;Chiki Snack Balls Cheese;Cheese stick fadiyaz snack;2,85714E+15;0;jagung,minyak olein kelapa sawit,beras,bumbu,garam,gula,keju bubuk,penguat rasa mononatrium glutamat,dinatrium guanilat,dinatrium inosinat,pewarna makanan;jagung; minyak olein kelapa sawit; beras; bumbu; garam; gula; keju bubuk; penguat rasa mononatrium glutamat; dinatrium guanilat,dinatrium inosinat; pewarna makanan;;;;;;;;;;;;;;;;;;;;;;;;;;;
852;Chiki Snack Balls Choco;Emmh snack choco milk;2,85714E+15;0;jagung,minyak olein kelapa sawit,beras,bumbu,cokelat bubuk,beras,kakao bubuk,perisa sintetik cokelat,perisa sintetik pasta cokelat,;jagung; minyak olein kelapa sawit; beras; bumbu; cokelat bubuk; beras; kakao bubuk; perisa sintetik cokelat; perisa sintetik pasta cokelat; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
853;Cho-Cho Wafer Snack Chocolate Strawberry;Emmh snack chocolate;2,85714E+15;0;gula pasir,tepugn terigu,tepung tapioka,susu bubuk,cokelat bubuk,whey bubuk,pati,minyak sawit,lesitin kedelai,bubuk Stroberi,asam laktat,garam,perisa Vanili,perisa susu,pewarna makanan,karamel;gula pasir; tepugn terigu; tepung tapioka; susu bubuk; coklat bubuk; whey bubuk; pati; minyak sawit; lesitin kedelai; bubuk strawberry; asam laktat; garam; perisa vanila; perisa susu; pewarna makanan karamel;;;;;;;;;;;;;;;;;;;;;;
854;Garuda Snack Pilus Mi Goreng;Pilus goreng;2,85714E+15;0;pati tapioka,minyak nabati,bumbu rasa mi goreng,gula,bawang putih,garam,penguat rasa mononatrium glutamat,pemanis buatan aspartam;pati tapioka; minyak nabati; bumbu rasa mi goreng; gula; bawang putih; garam; penguat rasa mononatrium glutamat; pemanis buatan aspartam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
855;Doritos Snack Barbeque;Keripik talas barbeque merak;2,85714E+15;0;jagung,minyak kelapa sawit,bumbu barbekiu penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat,daging bubuk ;jagung; minyak kelapa sawit; bumbu barbekiu penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat; daging bubuk ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856;Doritos Snack Nacho Cheese;Cheese stick fadiyaz snack;2,85714E+15;0;jagung,bumbu rasa keju,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat,bubuk keju,minyak kelapa sawit;jagung; bumbu rasa keju; penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat; bubuk keju ; minyak kelapa sawit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857;Doritos Snack Roasted Corn;Roasted corn,rtc-01;2,85714E+15;0;jagung,minyak olein kelapa sawit,bumbu,garam,gula,kecap bubuk,penguat rasa mononatrium glutamat,bawang merah bubuk,penguat rasa dinatrium inosinat,dinatrium guanilat;jagung; minyak olein kelapa sawit; bumbu garam; gula; kecap bubuk; penguat rasa mononatrium glutamat; bawang merah bubuk; penguat rasa dinatrium inosinat; dinatrium guanilat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
858;Krisbee Snack French Fries;French fries;2,85714E+15;0;tepung kentang,tepung terigu,tepung tapioka,pati jagung,minyak kelapa sawit,rempah rempah,gula,garam;tepung kentang ; tepung terigu; tepung tapioka; pati jagung; minyak kelapa sawit; rempah; gula; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
859;Loacker Wafer Quadratini Vanilla;Casak wafer vanilla;2,85714E+15;0;tepung terigu,minyak kelapa,sirup glukosa,bubuk whey,gula,dekstrosa,susu bubuk skim,tepung kedelai,ekstrak barley malt,garam,pengemulsi lesitin kedelai,cokelat rendah lemak,pengembang natrium hidrogen karbonat,penstabil dinatrium difosfat,Vanili,kacang hazel,rempah rempah,kayu manis;tepung terigu; minyak kelapa; sirup glukosa;bubuk whey; gula; dekstrosa; susu bubuk skim;tepung kedelai; ekstrak barley malt; garam;pengemulsi lesitin kedelai; cokelat rendah lemak;pengembang natrium hidrogen karbonat;penstabil dinatrium difosfat;vanila; kacang hazel;rempah kayu manis;;;;;;;;;;;;;;;;;;;;
863;Chitato Snack Potato Chips Asli;Dlala original potato chips;2,85714E+15;0;kentang,minyak kelapa sawit,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,hidrolisa protein nabati,pewarna makanan karamel,tartrazin ci,antioksidan tbhq;kentang; minyak kelapa sawit;penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; hidrolisa protein nabati; pewarna makanan karamel; tartrazin ci,antioksidan tbhq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
866;Aim Crackers Roasted Corn;Roasted corn,rtc-01;2,85714E+15;0;tepung terigu,minyak nabati,gula pasir,tepung tapioka,susu bubuk,perisa artifisial jagung bakar,garam,perisa artifisial cassava bbq,pengembang,amonium bikarbonat,natrium bikarbonat,monosodium glutamat;tepung terigu; minyak nabati; gula pasir; tepung tapioka; susu bubuk; perisa artifisial jagung bakar; garam; perisa artifisial cassava bbq; pengembang amonium bikarbonat; natrium bikarbonat; monosodium glutamat;;;;;;;;;;;;;;;;;;;;;;;;;;
868;Nescafe Coffee Latte Drink Eclair;Gambino syrup coffee latte;2,85714E+15;0;air,gula,susu bubuk,susu bubuk skim,kopi bubuk instant,krimer nabati,penstabil,pengatur keasaman,perisa sintetik,pengemulsi lesitin kedelai,pemanis alami glikosida steviol;air; gula; susu bubuk; susu bubuk skim; kopi bubuk instant; krimer nabati; penstabil; pengatur keasaman; perisa sintetik; pengemulsi lesitin kedelai; pemanis alami glikosida steviol;;;;;;;;;;;;;;;;;;;;;;;;;;
869;Pronas Luncheon Ayam;Belfoods uenaaak luncheon ayam;2,85714E+15;0;air,daging ayam,minyak kelapa,pati jagung,protein kedelai,garam,gom arab,bumbu-bumbu,penguat rasa mononatrium glutamat,penstabil dinatrium difosfat,Antioksidan Pengawet Natrium Nitrat,pewarna eritrosin ci;air; daging ayam ; minyak kelapa; pati jagung; protein kedelai; garam; gom arab; bumbubumbu; penguat rasa mononatrium glutamat; penstabil dinatrium difosfat; antioksidan ; pengawet natrium nitrit; pewarna eritrosin ci;;;;;;;;;;;;;;;;;;;;;;;;
870;Abc sardens Tomat;Saus tomat abc,indofood;2,85714E+15;0;ikan sardens,saus tomat,gula,garam,bawang putih,bawang merah;ikan sardens ; saus tomat ; gula; garam; bawang putih; bawang merah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
872;Arnott's Biscuit Venezia Assorted;Bellagio biscuit  assorted;2,85714E+15;0;gula,tepung terigu,minyak nabati,maltodekstrin,kakao bubuk,whey bubuk,dekstrosa,tepung ketan,garam,pengemulsi nabati,perisa sintetik,pewarna makanan;gula; tepung terigu; minyak nabati; maltodekstrin; kakao bubuk; whey bubuk; dekstrosa; tepung ketan; garam; pengemulsi nabati; perisa sintetik; pewarna makanan;;;;;;;;;;;;;;;;;;;;;;;;;
873;Kraft Sandwich Mini Oreo Strawberry;Mini sandwich;2,85714E+15;0;tepung terigu,gula,minyak nabati,antioksidan tbhq,bubuk serbuk cokelat,amonium,natrium bikarbonat,sirup fruktosa,pengembang,amonium,natrium bikarbonat,pati jagung,garam,pengemulsi lesitin kedelai,perisa artifisial Stroberi,identik alami,Vanili,pengatur keasaman,asam sitrat,pewarna,karmin-ci ;tepung terigu; gula; minyak nabati antioksidan tbhq; bubuk serbuk coklat amonium  natrium bikarbonat; sirup fruktosa; pengembang amonium  natrium bikarbonat; pati jagung; garam; pengemulsi lesitin kedelai; perisa artifisial strawberry,identik alami vanila; pengatur keasaman,asam sitrat; pewarna karminci ;;;;;;;;;;;;;;;;;;;;;;;;;
874;Buavita Juice Mini Guava;Guava juice;2,85714E+15;0;air,sari buah jambu,sari buah pir,sukrosa,maltodekstrin,penstabil nabati,perisa sintetik jambu,pengatur keasaman,vitamin c,pewarna alami karmin,pemanis alami glikosida steviol,vitamin a,vitamin b;air; sari buah jambu; sari buah pir; sukrosa; maltodekstrin; penstabil nabati; perisa sintetik jambu; pengatur keasaman; vitamin c; pewarna alami karmin; pemanis alami glikosida steviol,vitamin a,vitamin b;;;;;;;;;;;;;;;;;;;;;;;;;;
875;Buavita Juice Slim Apple;Apple juice powder;2,85714E+15;0;air,sari buah apel,sukrosa,perisa apel,pengatur keasaman,asam sitrat,natrium sitrat,vitamin c,garam,pewarna caramel,vitamin a;air; sari buah apel; sukrosa; perisa apel; pengatur keasaman,asam sitrat,natrium sitrat; vitamin c; garam; pewarna caramel; vitamin a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
876;Diamond Juice Unsweet Guava;Guava juice;2,85714E+15;0;air,puree jambu,konsentrat anggur,perisa sintetik jambu,penstabil nabati,pengatur keasaman,asam malat,pewarna karmoisin cl ;air; puree jambu; konsentrat anggur; perisa sintetik jambu; penstabil nabati; pengatur keasaman,asam malat; pewarna karmoisin cl ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
879;Eternalplus Mineral Water;Ades mineral water;2,85714E+15;0;air mineral;air mineral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
882;Roma Biscuit Kelapa;Biscuit kokola delicious kelapa;2,85714E+15;0;tepung terigu,gula,minyak nabati,antioksidan bha,tapioka,whey bubuk,tepung kelapa,kalsium karbonat,garam,pengemulsi lesitin kedelai,pengembang,pengatur keasaman,perisa kelapa,premiks vitamin,b,b,b,b,vitamin e;tepung terigu; gula; minyak nabati antioksidan bha; tapioka;whey bubuk; tepung kelapa;kalsium karbonat; garam; pengemulsi lesitinkedelai; pengembang; pengatur keasaman; perisa kelapa; premiks vitamin b; b; b; b,vitamin e;;;;;;;;;;;;;;;;;;;;;
883;Roma Biscuit Kelapa;Biscuit kokola delicious kelapa;2,85714E+15;0;tepung terigu,minyak nabati,antioksidan bha,tapioka,whey bubuk,tepung kelapa,kalsium karbonat,garam,gula,pengemulsi lesitin kedelai,pengembang,pengatur keasaman,perisa kelapa,vitamin b,b,b,b,e;tepung terigu; minyak nabati antioksidan bha; tapioka;whey bubuk; tepung kelapa;kalsium karbonat;garam; gula; pengemulsi lesitin kedelai; pengembang; pengatur keasaman; perisa kelapa; vitamin b;b;b;b,e;;;;;;;;;;;;;;;;;;;;;
885;Luwak White Koffie 3 Rasa;Peyek 3 rasa;2,85714E+15;0;krimer,glucose syrup,vegetable oil,sodium caseinate,protein susu,emulsifier e,stabilizer e,anti caking agent,e,colour ea,gula,kopi rendah asam;krimer glucose syrup; vegetable oil; sodium caseinate protein susu; emulsifier e; stabilizer e; anti caking agent e; colour ea; gula; kopi rendah asam;;;;;;;;;;;;;;;;;;;;;;;;;;;;
886;Verlin Crunchy Granola Cranberry Almon;Golite granola crunchy flake;2,85714E+15;0;havermut utuh,kacang mede,biji labu,biji chia,biji flax,jagung kering giling,madu,garam laut himalaya,kulit gandum,kayu manis,minyak kelapa,sereal jagung,Rice Crispy;havermut utuh; kacang mede; biji labu; biji chia; biji flax; jagung kering giling; madu; garam laut himalaya; kulit gandum; kayu manis; minyak kelapa; sereal jagung; rice cripsy;;;;;;;;;;;;;;;;;;;;;;;;
888;Milo Sereal Bar Cokelat;Cokelat bar mete;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
889;Bihophar Black Forest Honey;Black forest aneka bakery;2,85714E+15;0;madu murni ;madu murni ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890;Ultra Susu Cair Low Fat Hi-Calcium Cokelat;Frisian flag minuman susu uht rasa cokelat low fat;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
892;Abc Syrup Squash Delight Orange;Gambino syrup orange;2,85714E+15;0;air,gula,perisa leci,pengatur keasaman,pemanis buatan natrium siklamat  gkg minuman siap saji,pengawet natrium benzoat,sari buah jeruk,antioksidan vitamin c;air; gula; perisa leci; pengatur keasaman; pemanis buatan natrium siklamat  gkg minuman siap saji; pengawet natrium benzoat; sari buah jeruk; antioksidan vitamin c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
893;Indofood Syrup Freiss Melon;Gambino syrup melon hijau;2,85714E+15;0;gula,air,perisa identik alami melon,pengatur keasaman,pengawet,natrium benzoat,garam,madu,pewarna makanan,sari buah melon;gula; air; perisa identik alami melon; pengatur keasaman; pengawet natrium benzoat; garam; madu; pewarna makanan; sari buah melon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
894;Nola Granola Chips Es Teler;Es teler dalton;2,85714E+15;0;havermut utuh,biji chia,biji flax,almond,mede,kulit gandum beras merah organik,jagung kering giling,madu,gula tebu,minyak,kelapa parut,daun pan,nangka,garam laut,rice crispy;havermut utuh; biji chia; biji flax; almond; mete; kulit gandum beras merah organik; jagung kering giling; madu; gula tebu; minyak ; kelapa parut; daun pan,; nangka; garam laut; rice crispy;;;;;;;;;;;;;;;;;;;;;;
896;Bintang Soft Drink Radler 0.0;Soft drink;2,85714E+15;0;air berkarbonasi,gula,malted barley ekstrak hops,campuran sari buah konsentrat,lemon,jeruk,air,acerola,penstabil gom kacang lokus,ekstrak lemon grass,perisa alami lemon;air berkarbonasi; gula; malted barley ekstrak hops; campuran sari buah konsentrat lemon; jeruk; air; acerola; penstabil gom kacang lokus; ekstrak lemon grass ; perisa alami lemon;;;;;;;;;;;;;;;;;;;;;;;;;;;
897;Indomaret Air Minum;Air minum perpipaan;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
898;Hydro Coco Natural Health Drink;Brandis natural drink temulawak;2,85714E+15;0;air kelapa,air,sukrosa,fruktosa,pengatur keasaman,asam malat,perisa air kelapa,pengatur keasaman,natrium bikarbonat,vitamin b,b,b;air kelapa; air; sukrosa; fruktosa; pengatur keasaman,asam malat; perisa air kelapa; pengatur keasaman,natrium bikarbonat; vitamin b; b,b;;;;;;;;;;;;;;;;;;;;;;;;;;;;
899;Isoplus Minuman Isotonik;Minuman isotonik;2,85714E+15;0;air,gula,pengatur keasaman,natrium klorida,antioksidan vitamin c,kalium klorida,kalsium laktat,perisa identik alami grape fruit,magnesium laktat;air; gula; pengatur keasaman; natrium klorida; antioksidan vit c; kalium klorida; kalsium laktat; perisa identik alami grape fruit;,magnesium laktat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;Mama Mie Instant Noodle Seafood;Mie hokian;2,85714E+15;0;tepung terigu,minyak nabati,garam,gula,pengental gum selulosa,pengembang,kecap,garam,gula,perisa seafood,ikan,kepiting,u,g,daun seledri,penguat rasa,rempah rempah,pewarna,kaamel,wortel,sawi,protein kedelai,jagung;mi tepung terigu; minyak nabati; garam; gula; pengental gum selulosa; pengembang; kecap bumbu garam; gula; perisa seafood ikan; kepiting; u,g; daun seledri; penguat rasa; rempah; pewarna; kaamel sayur kering wortel; sawi; protein kedelai; jagung;;;;;;;;;;;;;;;;;;
901;Indomaret Bihun Beras;Beras merah indomaret;2,85714E+15;0;tepung beras,air;tepung beras,air;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
902;Mama Mie Instant Noodle Beef;Mie hokian;2,85714E+15;0;tepung terigu,minyak nabati,garam,gula,pengental gum selulosa,pengembang natrium karbonat,kalium karbonat,kecap,garam,gula,perisa daging sapi,penguat rasa mononatrium glutamat,dinatrium  Ribonukleotida,rempah rempah,bawang putih,lada pewarna karamel,minyak nabati,bawang putih,protein kedelai,wortel,daun bawang;mi tepung terigu; minyak nabati; garam; gula; pengental gum selulosa; pengembang natrium karbonat,kalium karbonat; kecap bumbu garam; gula; perisa daging sapi; penguat rasa mononatrium glutamat; dinatrium  robonukletidas; rempah bawang putih; lada pewarna karamel minyak minyak nabati; bawang putih sayur kering protein kedelai; wortel; daun bawang;;;;;;;;;;;;;;;;;;;;;
903;Adem Sari Air Mineral;Mustika sari;2,85714E+15;0;Air Mineral;air mineral pegunungan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
904;Adem Sari Minuman Penyejuk;Minuman olah   jahe;2,85714E+15;0;ekstrak citrus aurantifolia,ekstrak alyxia stellata ret cortex g,ekstrak cinamommum burnanni bi cortex mg,vitamin c mg,akg,Aspartam,sukrosa,gula alami,bahan-bahan lain hingga g;ekstrak citrus aurantifolia mg; ekstrak alyxia stellata ret cortex g; ekstrak cinamommum burnanni bi cortex mg; vitamin c mg akg; aspartan mg adi mgkg berat ba,; sukrosa gula alami,bahanbahan lain hingga g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
905;Marjan Syrup Cocopan,;Cocopan,syrup;2,85714E+15;0;gula pasir,air,ekstrak kelapa,pengatur keasaman,asam sitrat,perisa cocopan,pewarna,tartrazin,ci,Ponceau R Ci,ci ;gula pasir; air; ekstrak kelapa; pengatur keasaman,asam sitrat; perisa cocopan,; pewarna tartrazin ci ; ponceau r ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
906;Pristine 8+ Air Mineral;Air mineral,aqua;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
907;Potabee Snack Potato Chips Seaweed;Dlala original potato chips;2,85714E+15;0;kentang,minyak kelapa sawit,antioksidan butil hidrokinon tersiertbhq,bumbu rasa rumput laut,gula,garam,penguat rasa mononatrium glutamat,rumput laut,perisa alami,antioksidan tokoferol;kentang; minyak kelapa sawit antioksidan butil hidrokinon tersiertbhq; bumbu rasa rumput laut gula; garam; penguat rasa mononatrium glutamat; rumput laut; perisa alami antioksidan tokoferol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
908;Purnama Kemplang Bangka 5'S Ikan Tenggiri;Ikan tenggiri kasim;2,85714E+15;0;ikan tenggiri,tapioka,telur,garam,penyedap;ikan tenggiri; tapioka; telur; garam; penyedap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
909;Oatbits Biskuit Oat Vitafruit;Biskuit oat gandum;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
910;Smax Snack Balls Cheese;Cheese stick fadiyaz snack;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;Wanted Snack Tortilla Chips Original;Darsa banana chips original;2,85714E+15;0;tepung jagung,minyak bunga matahari,garam ;tepung jagung; minyak bunga matahari; garam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
912;Smax Snack Onion Ring Original;Keripik original ilmuwan snack;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
913;Meiji Biskuit Yan Yan Strawberry;Biskuit ying yang strawberry;2,85714E+15;0;tepung terigu,krim stoberi,pewarna sintetik eritrosin ci,bubuk stroberi,antioksidan tokoferol,gula,pengawet sulfit,minyak nabati,antioksidan bha,lemak reroti,antioksidan bha,cokelat bubuk,pengembang,amonium bikarbonat,natrium bikarbonat,garam,susu bubuk,ragi,perisa sintetik,Tepung,enzim papain;tepung terigu; krim stoberi  pewarna sintetik eritrosin ci ; bubuk stroberi ; antioksidan tokoferol; gula pengawet sulfit; minyak nabati antioksidan bha; lemak reroti antioksidan bha; cokelat bubuk; pengembang amonium bikarbonat; natrium bikarbonat;garam; susu bubuk; ragi; perisa sintetik; pelrakuan tepung enzim papain;;;;;;;;;;;;;;;;;;;;;;
914;5 Days Croissant Mix Berries;Mix berries;2,85714E+15;0;tepung terigu,selai buah beri,blueberry, raspberry,dark cherry, pengawet kalium sorbat,asam sorbat,pewarna makanan sintetik merah allura c ,biru berlian fcf ci no  air,margarin,pengawet kalium sorbat,antioksidan tokoferol pewarna makanan alami beta karoten ci no  gula icing ragi,susu bubuk,sirup jagung tinggi fruktosa pengemulsi nabati,pemanis alami sorbitol pewarna makanan sintetik kuning;tepung terigu; selai buah beri blueberry ; raspberry ;,dark cherry ; pengawet kalium sorbat,asam sorbat; pewarna makanan sintetik merah allura c no,biru berlian fcf ci no  air; margarin pengawet kalium sorbat; antioksidan tokoferol pewarna makanan alami beta karoten ci no  gula icing ragi; susu bubuk; sirup jagung tinggi fruktosa pengemulsi nabati pemanis alami sorbitol pewarna makanan sintetik kuning;;;;;;;;;;;;;;;;;;;;;;;;;;;
915;Teh Gelas Minuman Teh Alami;Minuman teh;2,85714E+15;0;air,gula,daun teh,perisa identik alami teh;air; gula; daun teh ; perisa identik alami teh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
916;Oishi Snack Sponge Crunch Strawberry;Emmh snack strawberry;2,85714E+15;0;jagung,lemak nabati,gula,whey bubuk,susu bubuk,krimer nabati,tepung beras,tepung kentang,pengemulsi,lesitin kedelai,perisa artifisial stroberi,ekstrak stroberi,pewarna makanan,merah allura ci,eritrosin cl ;jagung; lemak nabati; gula; whey bubuk; susu bubuk; krimer nabati; tepung beras; tepung kentang; pengemulsi lesitin kedelai; perisa artifisial stroberi; ekstrak stroberi  pewarna makanan merah allura cl ; eritrosin cl ;;;;;;;;;;;;;;;;;;;;;;;;;
917;Oishi Snack Sponge Crunch Chocolate;Sponge chocolate cake;2,85714E+15;0;lemak nabati,jagung,gula,whey bubuk,cokelat bubuk,susu bubuk,beras,tepung kentang,lesitin kedelai,pengemulsi,garam,perisa artifisial Vanili;lemak nabati; jagung; gula; whey bubuk; coklat bubuk; susu bubuk; beras; tepung kentang; lesitin kedelai pengemulsi; garam,perisa artifisial vanila;;;;;;;;;;;;;;;;;;;;;;;;;;;
918;Indomaret Spread Chocolate;Mercolade chocolate spread cappuccino;2,85714E+15;0;pasta cokelat,susu bubuk,cokelat bubuk,pengemulsi;pasta cokelat; susu bubuk; cokelat bubuk; pengemulsi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
919;Dale's Farm Crunchy Peanut Butter;Lubby almond butter crunchy;2,85714E+15;0;kacang tanah panggang,gula,minyak nabati,minyak kacang tanah,garam;kacang tanah panggang ; gula; minyak nabati; minyak kacang tanah; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
920;Dale's Farm Creamy Peanut Butter;Lubby almond butter creamy;2,85714E+15;0;kacang tanah panggang,gula,minyak nabati,minyak kacang tanah,garam;kacang tanah panggang ; gula; minyak nabati; minyak kacang tanah; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
923;Indomaret Bumbu Ketumbar;Bumbu ketumbar alfamidi;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
925;Rebo Kuaci Milk;Kuaci milk;2,85714E+15;0;biji bunga matahari,garam,rempah-rempah rempah,perisa sintetik susu,susu bubuk;biji bunga matahari; garam; rempahrempah; perisa sintetik susu; susu bubuk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
926;Indomaret Chocolate Meises;Ceres meises chocolate green tea;2,85714E+15;0;gula,lemak nabati,bubuk cokelat,susu bubuk lesitin,kedelai,Vanili;gula; lemak nabati; bubuk coklat; susu bubuk lesitin kedelai; vanilin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
927;Muria Seblak Stick Cabe Merah;Keripik cabe merah;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928;Nissin Walens Choco Soes;Choco soes bar;2,85714E+15;0;cokelat pasta,telur,tepung terigu,margarin,pengembang,amonium bikarbonat,garam;coklat pasta; telur; tepung terigu; margarin; pengembang amonium bikarbonat; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929;Nutrijell Konnyaku Jelly Powder;Jelly powder jelly;2,85714E+15;0;keragenan,konnyaku bubuk,gula,pengatur keasaman,asam,kalium sitrat,asam sitrat,serat pangan frukto oligasakarida,kalsium,perisa mangga,vitamin d,pewarna makanan,tartrazin ci,karmoisin ci ;keragenan; konnyaku bubuk; gula; pengatur keasaman,asam kalium sitrat; asam sitrat; serat pangan frukto oligasakarida; kalsium; perisa mangga; vitamin d; pewarna makanan tartrazin ci ; karmoisin ci ;;;;;;;;;;;;;;;;;;;;;;;;;;
930;Regal Marie Special;Marie special;2,85714E+15;0;tepung terigu,mentega asli,lemak tumbuh-tumbuhan,telur,gula pasir,tepung susu,glukosa,garam,soda kue;tepung terigu; mentega asli; lemak tumbuhtumbuhan; telur; gula pasir; tepung susu; glukosa; garam; soda kue;;;;;;;;;;;;;;;;;;;;;;;;;;;;
931;Indomaret Coklat Meisis Mix;Indomaret soes coklat;2,85714E+15;0;gula,lemak nabati,bubuk cokelat,susu bubuk lesitin,kedelai,Vanili;gula; lemak nabati; bubuk coklat; susu bubuk lesitin kedelai; vanilin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
932;Nutrijell Konnyaku Jelly Powder Leci;Nice jelly rasa leci;2,85714E+15;0;keragenan,konnyaku bubuk,gula,pengatur keasaman,asam,kalium sitrat,asam sitrat,serat pangan frukto oligasakarida,kalsium,vitamin d,perisa leci;keragenan; konnyaku bubuk; gula; pengatur keasaman,asam kalium sitrat; asam sitrat; serat pangan frukto oligasakarida; kalsium; vitamin d; perisa leci;;;;;;;;;;;;;;;;;;;;;;;;;;;;
933;Ajinomoto Mayonnaise Mayumi;Mayumi,salad dressing;2,85714E+15;0;minyak nabati,air,gula,kuning telur,garam,cuka,penguat rasa,mononatrium glutamat,dinatrium inosinat,mustard,pengatur keasaman,asam sitrat,pengental,gom xantan,bawang merah,bawang putih,pengawet,kalium sorbat,sekuestran,kalsium dinatrium edta kadar lemak ;minyak nabati; air; gula; kuning telur; garam; cuka; penguat rasa mononatrium glutamat; dinatrium inosinat; mustard; pengatur keasaman,asam sitrat; pengental gom xantan; bawang merah; bawang putih; pengawet kalium sorbat; sekuestran kalsium dinatrium edta kadar lemak ;;;;;;;;;;;;;;;;;;;;;;
934;Naraya Roasted Almond;Trieste sirup rasa roasted almond;2,85714E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
935;Cap Enak Kental Manis Putih;Kecap manis cap zebra;2,85714E+15;0;gula,Susu Sapi,minyak nabati,bubuk whey,Buttermilk bubuk,maltodekstrin,air,susu bubuk skim,garam,laktosa,perisa identik alami,penstabil nabati,antioksidan tokoferol,vitamin b,a,kolin,vitamin d;gula; susu sapi segar; minyak nabati; bubuk whey; butter milk bubuk; maltodekstrin; air; susu bubuk skim; garam; laktosa; perisa identik alami; penstabil nabati;antioksidan tokoferol; vitamin b; a; kolin,vitamin d;;;;;;;;;;;;;;;;;;;;;
936;Morinaga Chil School Susu Pertumbuhan 4 Vanilla;Chil school platinum vanilla;2,72727E+15;0;susu skim,maltodekstrin,sukrosa,minyak nabati,natrium kaseinat,perisa,Vanili,susu,prebiotik laktulosa,dha,lesitin kedelai,laktoferin,mineral,vitamin;susu skim; maltodekstrin; sukrosa; minyak nabati; natrium kaseinat; perisa vanila;susu; prebiotik laktulosa; dha; lesitin kedelai; laktoferin; mineral,vitamin;;;;;;;;;;;;;;;;;;;;;;;;;
