,Produk,produkindo,produkmui,produsen,sertif,nilai
985,Indomaret Keripik Singkong Asin|Keripik singkong asin|Askha jaya|02120014651219|0.5,Indomaret Keripik Singkong Asin,Keripik singkong asin,Askha jaya,02120014651219,0.5
839,Indomaret Ketan Hitam|Ketan hitam indomaret|Pt. mawar jaya|00190114830221|0.5,Indomaret Ketan Hitam,Ketan hitam indomaret,Pt. mawar jaya,00190114830221,0.5
778,Nabati Gatito Lidah Kucing Sandwich Cokelat|Nabati gatito - kukis lidah kucing sandwich cokelat|Pt. kaldu sari nabati indonesia|00100062440912|0.5,Nabati Gatito Lidah Kucing Sandwich Cokelat,Nabati gatito - kukis lidah kucing sandwich cokelat,Pt. kaldu sari nabati indonesia,00100062440912,0.5
393,Dua Kelinci Kacang Garing|Dua kelinci kacang campur|Pt. dua kelinci|00100017571001|0.5,Dua Kelinci Kacang Garing,Dua kelinci kacang campur,Pt. dua kelinci,00100017571001,0.5
74,Frisian Flag Kental Manis Putih|Frisian flag susu kental manis|Pt. frisian flag indonesia|00040040520606|0.5,Frisian Flag Kental Manis Putih,Frisian flag susu kental manis,Pt. frisian flag indonesia,00040040520606,0.5
392,Kraft Sandwich Oreo Red Velvet|Oreo red velvet  sandwich|Mondelez indonesia manufacturing|00100039270306|0.5,Kraft Sandwich Oreo Red Velvet,Oreo red velvet  sandwich,Mondelez indonesia manufacturing,00100039270306,0.5
838,Indomaret Ketan Putih|Ketan putih indomaret|Pt. mawar jaya|00190114830221|0.5,Indomaret Ketan Putih,Ketan putih indomaret,Pt. mawar jaya,00190114830221,0.5
697,Qtela Keripik Singkong Barbeque|Keripik singkong barbeque|Askha jaya|02120014651219|0.5,Qtela Keripik Singkong Barbeque,Keripik singkong barbeque,Askha jaya,02120014651219,0.5
389,Krakakoa Bark Dark Milk Chocolate Baguette|Krakakoa - chocolate bark dark milk chocolate with baguette|Pt. aneka coklat kakoa|00110071940215|0.5,Krakakoa Bark Dark Milk Chocolate Baguette,Krakakoa - chocolate bark dark milk chocolate with baguette,Pt. aneka coklat kakoa,00110071940215,0.5
843,Indomaret Beras Super Pandan Wangi|Indomaret beras pandan wangi|Pb. sindang asih|01101029120308|0.5,Indomaret Beras Super Pandan Wangi,Indomaret beras pandan wangi,Pb. sindang asih,01101029120308,0.5
995,Indomaret Crispy Seaweed Original|Crispy seaweed original indomaret|Pt. mitra kilau perkasa|03100011521015|0.5,Indomaret Crispy Seaweed Original,Crispy seaweed original indomaret,Pt. mitra kilau perkasa,03100011521015,0.5
836,Indomaret Santan Kelapa|Ardo santan kelapa|Ardo santan|09190013390820|0.5,Indomaret Santan Kelapa,Ardo santan kelapa,Ardo santan,09190013390820,0.5
10,Aqua Air Mineral|Air mineral botol aqua|Kampung kecil|00160097550719|0.5,Aqua Air Mineral,Air mineral botol aqua,Kampung kecil,00160097550719,0.5
453,"Glico Biscuit Pocky Choco Banana|Pocky choco banana|Thai glico co., ltd.|00100078150816|0.5",Glico Biscuit Pocky Choco Banana,Pocky choco banana,"Thai glico co., ltd.",00100078150816,0.5
993,Indomaret Emping Jagung|Emping jagung dua jagung|Ppkopsgn  dua jagung|15100070370321|0.5,Indomaret Emping Jagung,Emping jagung dua jagung,Ppkopsgn  dua jagung,15100070370321,0.5
954,Tao Kae Noi Crispy Seaweed Big Sheet Classic|Tao kae noi crispy big sheet classic|Tao kae noi food &amp; marketing public company limited|00100078080816|0.5,Tao Kae Noi Crispy Seaweed Big Sheet Classic,Tao kae noi crispy big sheet classic,Tao kae noi food &amp; marketing public company limited,00100078080816,0.5
846,Indomaret Kacang Hijau|Kacang hijau indomaret|Pt. mawar jaya|00190114830221|0.5,Indomaret Kacang Hijau,Kacang hijau indomaret,Pt. mawar jaya,00190114830221,0.5
407,Deka Wafer Crepes Choco Banana|Deka crisp crepes choco banana|Pt. dua kelinci|00100017571001|0.5,Deka Wafer Crepes Choco Banana,Deka crisp crepes choco banana,Pt. dua kelinci,00100017571001,0.5
2,Le Minerale Air Mineral|Air mineral le minerale|Cv. oto boga jaya|00160117390321|0.5,Le Minerale Air Mineral,Air mineral le minerale,Cv. oto boga jaya,00160117390321,0.5
845,Indomaret Beras Merah|Beras merah alghifari|Alghifari|01331247570520|0.5,Indomaret Beras Merah,Beras merah alghifari,Alghifari,01331247570520,0.5
671,Indomaret Minyak Goreng|Minyak goreng indomaret|Pt. mawar jaya|03080023260419|0.5,Indomaret Minyak Goreng,Minyak goreng indomaret,Pt. mawar jaya,03080023260419,0.5
1220,Tresno Joyo Madu Tj Jahe Merah Mint|Madu tj jahe merah mint|Pt. ultra sakti|00120065130513|0.5,Tresno Joyo Madu Tj Jahe Merah Mint,Madu tj jahe merah mint,Pt. ultra sakti,00120065130513,0.5
30,Nestle Alegria Dark Cocoa Drink|Nestle alegria - dark cocoa|Pt. nestle indonesia|00120005360899|0.5,Nestle Alegria Dark Cocoa Drink,Nestle alegria - dark cocoa,Pt. nestle indonesia,00120005360899,0.5
832,Vinisi Bumbu Nasi Goreng Ikan Asin|Nasi goreng ikan asin|Cv berkah|15160022971016|0.5,Vinisi Bumbu Nasi Goreng Ikan Asin,Nasi goreng ikan asin,Cv berkah,15160022971016,0.5
104,Kata Oma Snack Telur Gabus Balado Padang|Kata oma telur gabus rasa balado padang|Pt. fonusa agung mulia|00100100881219|0.5,Kata Oma Snack Telur Gabus Balado Padang,Kata oma telur gabus rasa balado padang,Pt. fonusa agung mulia,00100100881219,0.5
1270,Tropicana Slim Corn Oil|Tropicana slim corn oil|Soon soon oilmills sdn bhd|00080059911111|0.5,Tropicana Slim Corn Oil,Tropicana slim corn oil,Soon soon oilmills sdn bhd,00080059911111,0.5
410,Deka Wafer Crepes Choco Nut|Deka crisp crepes choco nut|Pt. dua kelinci|00100017571001|0.5,Deka Wafer Crepes Choco Nut,Deka crisp crepes choco nut,Pt. dua kelinci,00100017571001,0.5
102,Kata Oma Snack Telur Gabus Gula Aren|Kata oma telur gabus rasa gula aren|Pt. fonusa agung mulia|00100100881219|0.5,Kata Oma Snack Telur Gabus Gula Aren,Kata oma telur gabus rasa gula aren,Pt. fonusa agung mulia,00100100881219,0.5
744,Oishi Panchos Keripik Jagung Sapi Panggang|Nahiki keripik jagung sapi panggang|Pkprinpml nahiki|15100060450720|0.5,Oishi Panchos Keripik Jagung Sapi Panggang,Nahiki keripik jagung sapi panggang,Pkprinpml nahiki,15100060450720,0.5
1003,Kopiko Coffee Candy|Kopiko coffee candy|Pt. mayora indah|00110017761001|0.5,Kopiko Coffee Candy,Kopiko coffee candy,Pt. mayora indah,00110017761001,0.5
708,Pringles Potato Crisps Cheesy Cheese|Pringles potato crisps cheesy cheese|Kellogg asia products sdn bhd|00100097280719|0.5,Pringles Potato Crisps Cheesy Cheese,Pringles potato crisps cheesy cheese,Kellogg asia products sdn bhd,00100097280719,0.5
1248,Nestle Cereal Breakfast Koko Krunch Maxx|Nestle koko krunch maxx|Nestle philippines inc|00190019790402|0.5,Nestle Cereal Breakfast Koko Krunch Maxx,Nestle koko krunch maxx,Nestle philippines inc,00190019790402,0.5
1159,Sarimi Mi Instan Goreng (Isi 2) Ayam Kecap|Sarimi mi instan goreng rasa ayam kecap (isi 2)|Pt. indofood cbp sukses makmur tbk divisi noodle|00090000300799|0.47058823529411764,Sarimi Mi Instan Goreng (Isi 2) Ayam Kecap,Sarimi mi instan goreng rasa ayam kecap (isi 2),Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,0.47058823529411764
944,Tao Kae Noi Tempura Seaweed Salted Egg|Tao kae noi tempura seaweed salted egg original flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.4666666666666667,Tao Kae Noi Tempura Seaweed Salted Egg,Tao kae noi tempura seaweed salted egg original flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.4666666666666667
1193,Ayam Brand Baked Beans In Tomato Sauce|Ayam brand baked beans in tomato sauce / kacang dalam saus tomat|Pt. faretina (pabrik di vietnam)|00190088270418|0.4666666666666667,Ayam Brand Baked Beans In Tomato Sauce,Ayam brand baked beans in tomato sauce / kacang dalam saus tomat,Pt. faretina (pabrik di vietnam),00190088270418,0.4666666666666667
388,Krakakoa Bark Milk Chocolate Seed & Grain Sourdough|Krakakoa - chocolate bark milk chocolate with  seed &amp; grain sourdough|Pt. aneka coklat kakoa|00110071940215|0.4666666666666667,Krakakoa Bark Milk Chocolate Seed & Grain Sourdough,Krakakoa - chocolate bark milk chocolate with  seed &amp; grain sourdough,Pt. aneka coklat kakoa,00110071940215,0.4666666666666667
953,Tao Kae Noi Crispy Seaweed Hot & Spicy|Tao kae noi crispy seaweed hot &amp; spicy flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.4666666666666667,Tao Kae Noi Crispy Seaweed Hot & Spicy,Tao kae noi crispy seaweed hot &amp; spicy flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.4666666666666667
1135,"Sedaap Mie Tasty Bakmi Ayam Geprek Matah|Mie sedaap bakmi ayam geprek matah|Karunia alam segar (divisi mie), pt.|114/spkp/mui-jatim|0.46153846153846156",Sedaap Mie Tasty Bakmi Ayam Geprek Matah,Mie sedaap bakmi ayam geprek matah,"Karunia alam segar (divisi mie), pt.",114/spkp/mui-jatim,0.46153846153846156
950,Tao Kae Noi Crispy Seaweed Original|Tao kae noi crispy seaweed original flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.46153846153846156,Tao Kae Noi Crispy Seaweed Original,Tao kae noi crispy seaweed original flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.46153846153846156
1214,Lee Kum Kee Pure Sesame Oil|Lee kum kee pure sesame oil|Low seat hoon sesame oil food industry sdn bhd|00080096190619|0.46153846153846156,Lee Kum Kee Pure Sesame Oil,Lee kum kee pure sesame oil,Low seat hoon sesame oil food industry sdn bhd,00080096190619,0.46153846153846156
946,Tao Kae Noi Tempura Seaweed Original|Tao kae noi hi tempura seaweed original|Tao kae noi food &amp; marketing public company limited|00100078080816|0.46153846153846156,Tao Kae Noi Tempura Seaweed Original,Tao kae noi hi tempura seaweed original,Tao kae noi food &amp; marketing public company limited,00100078080816,0.46153846153846156
947,Tao Kae Noi Crispy Seaweed Tomato|Tao kae noi crispy seaweed tomato flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.46153846153846156,Tao Kae Noi Crispy Seaweed Tomato,Tao kae noi crispy seaweed tomato flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.46153846153846156
1190,Ayam Brand Tuna Chunks In Oil|Ayam brand tuna chunks  dalam minyak (tuna chunks  in oil )|Pt. citraraja ampat canning|00030008350698|0.46153846153846156,Ayam Brand Tuna Chunks In Oil,Ayam brand tuna chunks  dalam minyak (tuna chunks  in oil ),Pt. citraraja ampat canning,00030008350698,0.46153846153846156
951,Tao Kae Noi Crispy Seaweed Seafood|Tao kae noi crispy seaweed seafood flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.46153846153846156,Tao Kae Noi Crispy Seaweed Seafood,Tao kae noi crispy seaweed seafood flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.46153846153846156
1156,Sedaap Mie Instant Ayam Bawang Telur|Mie sedaap instant mi kuah rasa ayam bawang telur|Prakarsa alam segar pt.|00090036380805|0.46153846153846156,Sedaap Mie Instant Ayam Bawang Telur,Mie sedaap instant mi kuah rasa ayam bawang telur,Prakarsa alam segar pt.,00090036380805,0.46153846153846156
824,Mamasuka Rumput Laut Panggang (Nori) Salted Egg|Rumput laut panggang (nori) mamasuka|Pt. aneka boga nusantara|00190080261216|0.45454545454545453,Mamasuka Rumput Laut Panggang (Nori) Salted Egg,Rumput laut panggang (nori) mamasuka,Pt. aneka boga nusantara,00190080261216,0.45454545454545453
920,Roma Biscuit Sandwich Peanut Butter|Roma biscuit sandwich peanut butter (krim kacang)|Pt. mayora indah tbk|00100014301200|0.45454545454545453,Roma Biscuit Sandwich Peanut Butter,Roma biscuit sandwich peanut butter (krim kacang),Pt. mayora indah tbk,00100014301200,0.45454545454545453
931,Tropicana Slim Cookies Diabetamil Nutty Chocolate|Tropicana slim sugar free cookies nutty chocolate|Pt. nutrifood indonesia|00100048590808|0.45454545454545453,Tropicana Slim Cookies Diabetamil Nutty Chocolate,Tropicana slim sugar free cookies nutty chocolate,Pt. nutrifood indonesia,00100048590808,0.45454545454545453
506,Khong Guan Crackers Malkist Salut Cokelat|Khong guan malkist salut cokelat|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.45454545454545453,Khong Guan Crackers Malkist Salut Cokelat,Khong guan malkist salut cokelat,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.45454545454545453
823,Mamasuka Rumput Laut Panggang (Nori) Sapi Panggang Korea|Rumput laut panggang (nori) mamasuka|Pt. aneka boga nusantara|00190080261216|0.45454545454545453,Mamasuka Rumput Laut Panggang (Nori) Sapi Panggang Korea,Rumput laut panggang (nori) mamasuka,Pt. aneka boga nusantara,00190080261216,0.45454545454545453
210,Gery Wafer Roll Chocolatos Dark|Gery chocolatos dark wafer roll|Pt. garudafood putra putri jaya tbk|00100014221200|0.45454545454545453,Gery Wafer Roll Chocolatos Dark,Gery chocolatos dark wafer roll,Pt. garudafood putra putri jaya tbk,00100014221200,0.45454545454545453
122,Monde Cookies Serena Egg Roll Pandan|Monde serena kukis egg roll rasa pandan|Pt. monde mahkota biskuit|00100039290306|0.45454545454545453,Monde Cookies Serena Egg Roll Pandan,Monde serena kukis egg roll rasa pandan,Pt. monde mahkota biskuit,00100039290306,0.45454545454545453
494,Khong Guan Marie Salut Cokelat|Khong guan biskuit marie salut cokelat|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.45454545454545453,Khong Guan Marie Salut Cokelat,Khong guan biskuit marie salut cokelat,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.45454545454545453
213,Kata Oma Snack Telur Gabus Telur Asin|Kata oma telur gabus rasa telur asin|Pt. fonusa agung mulia|00100100881219|0.45454545454545453,Kata Oma Snack Telur Gabus Telur Asin,Kata oma telur gabus rasa telur asin,Pt. fonusa agung mulia,00100100881219,0.45454545454545453
566,Ichi Ocha Minuman Teh Melati|Ichi ocha minuman teh dengan dua melati|Pt. anugerah indofood barokah makmur|00120038970306|0.45454545454545453,Ichi Ocha Minuman Teh Melati,Ichi ocha minuman teh dengan dua melati,Pt. anugerah indofood barokah makmur,00120038970306,0.45454545454545453
673,Sasa Tepung Bumbu Serbaguna Original|Tepung bumbu serbaguna original sasa|Pt. sasa inti ( plant cikarang )|00060020020502|0.45454545454545453,Sasa Tepung Bumbu Serbaguna Original,Tepung bumbu serbaguna original sasa,Pt. sasa inti ( plant cikarang ),00060020020502,0.45454545454545453
106,Kata Oma Snack Telur Gabus Keju|Kata oma telur gabus rasa keju|Pt. fonusa agung mulia|00100100881219|0.45454545454545453,Kata Oma Snack Telur Gabus Keju,Kata oma telur gabus rasa keju,Pt. fonusa agung mulia,00100100881219,0.45454545454545453
554,Wrp Everyday Low Fat Milk Choco Hazelnut|Wrp everyday low fat milk chocolate|Pt. nutrifood indonesia|00040029270404|0.45454545454545453,Wrp Everyday Low Fat Milk Choco Hazelnut,Wrp everyday low fat milk chocolate,Pt. nutrifood indonesia,00040029270404,0.45454545454545453
587,Javana Minuman Teh Melati Gula Batu|Sisri minuman teh melati dengan gula batu (cup)|Pt. forisa nusapersada|00120021940902|0.45454545454545453,Javana Minuman Teh Melati Gula Batu,Sisri minuman teh melati dengan gula batu (cup),Pt. forisa nusapersada,00120021940902,0.45454545454545453
377,Laverland Crunch Seaweed Strips Rice Pop|Laverland crunch crispy seaweed snack rice pop|Asia food co.-korea|00100082470417|0.45454545454545453,Laverland Crunch Seaweed Strips Rice Pop,Laverland crunch crispy seaweed snack rice pop,Asia food co.-korea,00100082470417,0.45454545454545453
535,Frisian Flag Susu Cair Junio Cokelat|Frisian flag minuman susu uht junio rasa cokelat|Pt. frisian flag indonesia|00040040520606|0.45454545454545453,Frisian Flag Susu Cair Junio Cokelat,Frisian flag minuman susu uht junio rasa cokelat,Pt. frisian flag indonesia,00040040520606,0.45454545454545453
878,Slim & Fit Cookies Dark Chocolate|Slim &amp; fit cookies nichoa chocolate|Nichoa chocolatte	|15100061900920|0.4444444444444444,Slim & Fit Cookies Dark Chocolate,Slim &amp; fit cookies nichoa chocolate,Nichoa chocolatte	,15100061900920,0.4444444444444444
561,Harada Green Tea Bag With Brown Rice|Hankook tea brown rice green tea|Hankook tea company-korea|00120083470617|0.4444444444444444,Harada Green Tea Bag With Brown Rice,Hankook tea brown rice green tea,Hankook tea company-korea,00120083470617,0.4444444444444444
257,Adem Sari Ching Ku Herbal Tea|Adem sari ching ku|Pt. bandeng juwana|15100045840320|0.4444444444444444,Adem Sari Ching Ku Herbal Tea,Adem sari ching ku,Pt. bandeng juwana,15100045840320,0.4444444444444444
254,Adem Sari Ching Ku Minuman Penyejuk|Adem sari ching ku|Pt. bandeng juwana|15100045840320|0.4444444444444444,Adem Sari Ching Ku Minuman Penyejuk,Adem sari ching ku,Pt. bandeng juwana,15100045840320,0.4444444444444444
562,Lipton Minuman Serbuk Iced Tea Lemon|Tfn minuman serbuk rasa lemon tea|Arayaindo|00120106620920|0.4444444444444444,Lipton Minuman Serbuk Iced Tea Lemon,Tfn minuman serbuk rasa lemon tea,Arayaindo,00120106620920,0.4444444444444444
781,Nabati Vitakrim Wafer Raspberry Yoghurt|Nabati vitakrim raspberry yoghurt|Pt. kaldu sari nabati indonesia|00100062440912|0.4444444444444444,Nabati Vitakrim Wafer Raspberry Yoghurt,Nabati vitakrim raspberry yoghurt,Pt. kaldu sari nabati indonesia,00100062440912,0.4444444444444444
899,Roma Crackers Malkist Kelapa Kopyor|Roma malkist kelapa kopyor|Pt. mayora indah tbk|00100014301200|0.4444444444444444,Roma Crackers Malkist Kelapa Kopyor,Roma malkist kelapa kopyor,Pt. mayora indah tbk,00100014301200,0.4444444444444444
1136,Sukses's Mie Goreng Isi 2 Ayam Kecap|Mie goreng ayam kecap|Paberik mie 1938|00160102900320|0.4444444444444444,Sukses's Mie Goreng Isi 2 Ayam Kecap,Mie goreng ayam kecap,Paberik mie 1938,00160102900320,0.4444444444444444
902,Roma Crackers Malkist Keju Tabur|Roma malkist keju tabur|Pt. mayora indah tbk|00100014301200|0.4444444444444444,Roma Crackers Malkist Keju Tabur,Roma malkist keju tabur,Pt. mayora indah tbk,00100014301200,0.4444444444444444
580,Sosro Teh Botol Jasmine Tea|Teh sosro heritage jasmine tea|Pt. gunung slamat|00120000980699|0.4444444444444444,Sosro Teh Botol Jasmine Tea,Teh sosro heritage jasmine tea,Pt. gunung slamat,00120000980699,0.4444444444444444
243,Espe Larutan Penyegar Orange|Larutan penyegar espe rasa orange|Pt. sinde budi sentosa|00120035580705|0.4444444444444444,Espe Larutan Penyegar Orange,Larutan penyegar espe rasa orange,Pt. sinde budi sentosa,00120035580705,0.4444444444444444
240,Espe Larutan Penyegar Leci|Larutan penyegar espe rasa leci|Pt. sinde budi sentosa|00120035580705|0.4444444444444444,Espe Larutan Penyegar Leci,Larutan penyegar espe rasa leci,Pt. sinde budi sentosa,00120035580705,0.4444444444444444
1108,Kongbap Multi Grain Mix 6'S|Kongbap multi grain mix|Cv. herba liem putra|00190083340417|0.4444444444444444,Kongbap Multi Grain Mix 6'S,Kongbap multi grain mix,Cv. herba liem putra,00190083340417,0.4444444444444444
239,Espe Larutan Penyegar Strawberry|Larutan penyegar espe rasa strawberry|Pt. sinde budi sentosa|00120035580705|0.4444444444444444,Espe Larutan Penyegar Strawberry,Larutan penyegar espe rasa strawberry,Pt. sinde budi sentosa,00120035580705,0.4444444444444444
904,Roma Crackers Malkist Cokelat Kelapa|Roma malkist cokelat kelapa|Pt. mayora indah tbk|00100014301200|0.4444444444444444,Roma Crackers Malkist Cokelat Kelapa,Roma malkist cokelat kelapa,Pt. mayora indah tbk,00100014301200,0.4444444444444444
